Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Chicken (Extra Topping, Extra Large Pizza),1 amount per slice,14,,20,0,0,0,15,105,0,0,0,5
Italian Sausage (Extra Topping, Extra Small Pizza),1 amount per slice,11,,40,3.5,1,0,5,90,0,0,0,1
Italian Sausage (Extra Topping, Small Pizza),1 amount per slice,10,,35,3.5,1,0,5,85,0,0,0,1
Italian Sausage (Extra Topping, Medium Pizza),1 amount per slice,11,,40,3.5,1.5,0,10,95,0,0,0,2
Italian Sausage (Extra Topping, Large Pizza),1 amount per slice,14,,50,5,1.5,0,10,125,0,0,0,2
Italian Sausage (Extra Topping, Extra Large Pizza),1 amount per slice,14,,50,5,1.5,0,10,125,0,0,0,2
Meatball (Extra Topping, Extra Small Pizza),1 amount per slice,7,,20,1.5,0.5,0,5,50,0,0,0,1
Meatball (Extra Topping, Small Pizza),1 amount per slice,10,,25,2,1,0,5,70,0,0,0,2
Meatball (Extra Topping, Medium Pizza),1 amount per slice,10,,25,2,1,0,5,70,0,0,0,2
Meatball (Extra Topping, Large Pizza),1 amount per slice,15,,40,3,1,0,10,105,1,0,0,2
Meatball (Extra Topping, Extra Large Pizza),1 amount per slice,16,,40,3,1,0,10,110,1,0,0,3
Pepperoni (Extra Topping, Extra Small Pizza),1 amount per slice,8,,40,3.5,1.5,0,10,115,0,0,0,1
Pepperoni (Extra Topping, Small Pizza),1 amount per slice,6,,30,3,1,0,5,95,0,0,0,1
Pepperoni (Extra Topping, Medium Pizza),1 amount per slice,7,,35,3,1,0,10,100,0,0,0,1
Pepperoni (Extra Topping, Large Pizza),1 amount per slice,10,,50,4.5,1.5,0,10,150,0,0,0,2
Pepperoni (Extra Topping, Extra Large Pizza),1 amount per slice,10,,50,4.5,1.5,0,10,160,0,0,0,2
Philly Steak (Extra Topping, Extra Small Pizza),1 amount per slice,14,,25,1.5,0.5,0,5,100,0,0,0,3
Philly Steak (Extra Topping, Small Pizza),1 amount per slice,19,,35,2,1,0,5,135,0,0,0,3
Philly Steak (Extra Topping, Medium Pizza),1 amount per slice,21,,40,2,1,0,5,150,0,0,0,4
Philly Steak (Extra Topping, Large Pizza),1 amount per slice,28,,50,3,1,0,10,200,1,0,1,5
Philly Steak (Extra Topping, Extra Large Pizza),1 amount per slice,29,,50,3,1,0,10,200,1,0,1,5
Salami (Extra Topping, Extra Small Pizza),1 amount per slice,7,,25,2.5,1,0,10,120,0,0,0,1
Salami (Extra Topping, Small Pizza),1 amount per slice,7,,25,2.5,1,0,10,120,0,0,0,1
Salami (Extra Topping, Medium Pizza),1 amount per slice,9,,35,3,1,0,10,150,0,0,0,2
Salami (Extra Topping, Large Pizza),1 amount per slice,11,,40,3.5,1.5,0,10,180,0,0,0,2
Salami (Extra Topping, Extra Large Pizza),1 amount per slice,11,,45,4,1.5,0,10,190,0,0,0,2
Sausage (Extra Topping, Extra Small Pizza),1 amount per slice,11,,45,4.5,1.5,0,10,115,0,0,0,1
Sausage (Extra Topping, Small Pizza),1 amount per slice,10,,40,4,1.5,0,5,105,0,0,0,1
Sausage (Extra Topping, Medium Pizza),1 amount per slice,11,,45,4.5,1.5,0,10,120,0,0,0,1
