Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Warm Winter Vegetable Soup,300,,135,6.6,3.6,20,5.7,9.9,2.1
White & Wholemeal Loaf,42,,98,0.5,0.0,20,1.8,2.3,4.4
White & Wholemeal Rolls,85,,218,2.7,0.3,41,4.3,5.8,9.0
White Chocolate Cookies,73,,362,20,8.0,43,4.3,21,5.4
White Coffee Large,,377,45,0.8,0.6,5.5,0.0,3.5,3.9
White Coffee Large Decaf Bag,,404,24,0.8,0.3,3.6,0.0,1.3,2.2
White Coffee Large Decaf Beans,,377,45,0.8,0.6,5.5,0.0,3.5,3.9
White Coffee Regular,,285,34,0.0,0.0,5.0,0.0,2.9,2.7
White Coffee Regular Decaf Bag,,316,19,0.7,0.3,2.6,0.0,1.1,1.4
White Coffee Regular Decaf Beans,,285,34,0.0,0.0,5.0,0.0,2.9,2.7
White Tea Large,,404,12,0.0,0.4,1.2,0.0,1.2,0.8
White Tea Regular,,316,9,0.0,0.3,0.9,0.0,0.9,0.9
Yum Yums,78.2,,323,17,8.3,39,0.6,15,4.1
