Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#6 Roast Beef and Provolone (Mini, Seeded Italian Bread)",580,27.18,7.56,0.41,77.1,856.35,45.59,4.47,5.12,36.99
"#6 Roast Beef and Provolone (Regular, White Bread)",890,45.98,12.1,0.7,116.77,1266.29,60.33,4.26,5.84,55.78
"#6 Roast Beef and Provolone (Regular, Rosemary Parmesan Bread)",920,48.14,13.43,0.7,123.1,1337.61,61.15,4.63,5.86,57.85
"#6 Roast Beef and Provolone (Regular, Wheat Bread)",900,46.4,11.71,0.7,116.77,1229.16,61.25,6.43,6.92,56.65
"#6 Roast Beef and Provolone (Regular, Seeded Italian Bread)",930,47.89,12.41,0.7,116.77,1295.45,68.99,6.75,7.72,56.03
"#6 Roast Beef and Provolone (Regular, Gluten Free Bread)",840,50.39,12.16,0.7,116.77,1075.45,46.99,4.25,7.72,51.53
"#6 Roast Beef and Provolone (Giant, White Bread)",1720,88.79,22.36,1.29,224.03,2436.64,118.23,7.8,10.28,107.75
"#6 Roast Beef and Provolone (Giant, Rosemary Parmesan Bread)",1780,93.11,25.02,1.29,236.69,2579.29,119.87,8.55,10.31,111.89
"#6 Roast Beef and Provolone (Giant, Wheat Bread)",1750,89.63,21.58,1.29,224.03,2362.39,120.07,12.15,12.43,109.49
"#6 Roast Beef and Provolone (Giant, Seeded Italian Bread)",1810,92.61,22.99,1.28,224.03,2494.97,135.56,12.79,14.04,108.25
"#6 Roast Beef and Provolone (Giant, Gluten Free Bread)",1630,97.61,22.49,1.28,224.03,2054.97,91.55,7.79,14.04,99.25
"#6 Roast Beef and Provolone (Wrap, White Wrap)",920,50.39,14.66,0.7,116.77,1370.45,59.49,4.25,4.22,53.53
"#6 Roast Beef and Provolone (Wrap, Tomato Basil Wrap)",920,50.39,14.66,0.7,116.77,1350.45,59.49,4.25,4.22,53.53
"#6 Roast Beef and Provolone (Wrap, Wheat Wrap)",900,50.39,14.66,0.7,116.77,1380.45,57.49,8.25,4.22,54.53
"#6 Roast Beef and Provolone (Wrap, Garlic Herb Wrap)",920,50.39,14.66,0.7,116.77,1580.45,59.49,4.25,4.22,53.53
"#6 Roast Beef and Provolone (Wrap, Spinach Herb Wrap)",920,50.39,14.66,0.7,116.77,1370.45,58.49,4.25,4.22,54.53
#6 Roast Beef and Provolone (Bowl),610,43.39,11.66,0.7,116.77,630.45,7.49,2.25,4.22,45.53
"#13 The Original Italian (Mini, White Bread)",560,30.31,8.98,0.39,56.79,1559.22,42.92,2.87,6.58,28.52
"#13 The Original Italian (Mini, Rosemary Parmesan Bread)",580,31.74,9.86,0.39,60.96,1606.3,43.46,3.11,6.59,29.89
"#13 The Original Italian (Mini, Wheat Bread)",560,30.59,8.72,0.39,56.79,1534.72,43.53,4.3,7.29,29.1
"#13 The Original Italian (Mini, Seeded Italian Bread)",590,31.57,9.19,0.39,56.79,1578.47,48.63,4.51,7.82,28.69
"#13 The Original Italian (Regular, White Bread)",930,54.25,15.07,0.66,92.38,2513.62,65.6,4.33,10.47,45.63
"#13 The Original Italian (Regular, Rosemary Parmesan Bread)",960,56.41,16.4,0.66,98.71,2584.94,66.42,4.71,10.49,47.7
"#13 The Original Italian (Regular, Wheat Bread)",940,54.67,14.68,0.66,92.38,2476.49,66.53,6.51,11.55,46.5
"#13 The Original Italian (Regular, Seeded Italian Bread)",980,56.16,15.39,0.66,92.38,2542.78,74.27,6.83,12.35,45.88
"#13 The Original Italian (Regular, Gluten Free Bread)",890,58.66,15.14,0.66,92.38,2322.78,52.27,4.33,12.35,41.38
"#13 The Original Italian (Giant, White Bread)",1760,103.5,27.72,1.21,161.29,4562.64,127.43,7.95,18.35,81.25
"#13 The Original Italian (Giant, Rosemary Parmesan Bread)",1820,107.82,30.38,1.21,173.95,4705.29,129.07,8.7,18.38,85.39
"#13 The Original Italian (Giant, Wheat Bread)",1790,104.34,26.94,1.21,161.29,4488.39,129.28,12.3,20.5,82.99
"#13 The Original Italian (Giant, Seeded Italian Bread)",1850,107.32,28.35,1.2,161.29,4620.97,144.76,12.94,22.11,81.75
"#13 The Original Italian (Giant, Gluten Free Bread)",1670,112.32,27.85,1.2,161.29,4180.97,100.76,7.94,22.11,72.75
"#13 The Original Italian (Wrap, White Wrap)",960,58.66,17.64,0.66,92.38,2617.78,64.77,4.33,8.85,43.38
"#13 The Original Italian (Wrap, Tomato Basil Wrap)",960,58.66,17.64,0.66,92.38,2597.78,64.77,4.33,8.85,43.38
"#13 The Original Italian (Wrap, Wheat Wrap)",940,58.66,17.64,0.66,92.38,2627.78,62.77,8.33,8.85,44.38
"#13 The Original Italian (Wrap, Garlic Herb Wrap)",960,58.66,17.64,0.66,92.38,2827.78,64.77,4.33,8.85,43.38
"#13 The Original Italian (Wrap, Spinach Herb Wrap)",960,58.66,17.64,0.66,92.38,2617.78,63.77,4.33,8.85,44.38
#13 The Original Italian (Bowl),650,51.66,14.64,0.66,92.38,1877.78,12.77,2.33,8.85,35.38
"#8 Club Sub (Mini, White Bread)",640,40.76,9.47,0.58,60.05,1496.27,41.18,2.82,5.18,29.64
"#8 Club Sub (Mini, Rosemary Parmesan Bread)",660,42.19,10.35,0.58,64.22,1543.35,41.72,3.07,5.19,31
"#8 Club Sub (Mini, Wheat Bread)",650,41.04,9.21,0.58,60.05,1471.77,41.79,4.26,5.89,30.21
"#8 Club Sub (Mini, Seeded Italian Bread)",680,42.03,9.68,0.58,60.05,1515.52,46.9,4.47,6.42,29.8
"#8 Club Sub (Regular, White Bread)",1130,77.39,16.98,1.05,103.27,2514.3,62.84,4.26,8.33,48.46
"#8 Club Sub (Regular, Rosemary Parmesan Bread)",1160,79.55,18.31,1.05,109.6,2585.62,63.66,4.63,8.34,50.53
"#8 Club Sub (Regular, Wheat Bread)",1140,77.81,16.59,1.05,103.27,2477.17,63.77,6.43,9.4,49.33
"#8 Club Sub (Regular, Seeded Italian Bread)",1180,79.3,17.3,1.05,103.27,2543.46,71.51,6.75,10.21,48.71
"#8 Club Sub (Regular, Gluten Free Bread)",1090,81.8,17.05,1.05,103.27,2323.46,49.51,4.25,10.21,44.21
"#8 Club Sub (Giant, White Bread)",2160,150,31.58,1.98,176.8,4448.33,122.42,7.8,14.42,83.78
