Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Iced Caffè Mocha (Tall, Nonfat, No Whip)",354,150,2,1,0,5,65,27,3,22,7,95
"Iced Caffè Mocha (Tall, Nonfat, Whip)",354,240,10,6,0.2,30,75,30,3,23,7,95
"Iced Caffè Mocha (Tall, 2%, No Whip)",354,180,4.5,3,0.1,10,70,27,3,21,7,95
"Iced Caffè Mocha (Tall, 2%, Whip)",354,260,12,8,0.4,40,80,29,3,23,7,95
"Iced Caffè Mocha (Tall, Whole, No Whip)",354,190,6,3.5,0.1,15,65,27,3,21,7,95
"Iced Caffè Mocha (Tall, Whole, Whip)",354,270,14,9,0.4,45,75,29,3,23,7,95
"Iced Caffè Mocha (Tall, Soy, No Whip)",354,160,4,1.5,0,0,60,25,3,18,6,95
"Iced Caffè Mocha (Tall, Soy, Whip)",354,240,12,6,0.2,30,65,27,3,20,7,95
"Iced Caffè Mocha (Tall, Coconut, No Whip)",354,150,5,4,0,0,65,25,3,19,3,95
"Iced Caffè Mocha (Tall, Coconut, Whip)",354,240,13,9,0.2,30,70,27,3,22,3,95
"Iced Caffè Mocha (Grande, Nonfat, No Whip)",473,200,2.5,1.5,0,5,80,36,4,28,9,175
"Iced Caffè Mocha (Grande, Nonfat, Whip)",473,320,14,8,0.3,45,90,40,4,30,10,175
"Iced Caffè Mocha (Grande, 2%, No Whip)",473,230,6,3.5,0.1,15,90,36,4,28,9,175
"Iced Caffè Mocha (Grande, 2%, Whip)",473,350,17,11,0.5,55,100,39,4,30,10,175
"Iced Caffè Mocha (Grande, Whole, No Whip)",473,250,8,4.5,0.2,15,80,36,4,28,9,175
"Iced Caffè Mocha (Grande, Whole, Whip)",473,360,19,12,0.5,60,95,39,4,30,9,175
"Iced Caffè Mocha (Grande, Soy, No Whip)",473,210,5,2,0,0,75,33,5,24,8,175
"Iced Caffè Mocha (Grande, Soy, Whip)",473,330,16,9,0.3,40,85,37,5,26,9,175
"Iced Caffè Mocha (Grande, Coconut, No Whip)",473,210,6,5,0,0,80,34,4,26,4,175
"Iced Caffè Mocha (Grande, Coconut, Whip)",473,320,18,12,0.3,40,95,37,4,29,4,175
"Iced Caffè Mocha (Venti, Nonfat, No Whip)",709,300,3.5,2.5,0,5,110,53,6,41,13,265
"Iced Caffè Mocha (Venti, Nonfat, Whip)",709,410,15,9,0.3,45,120,57,6,43,14,265
"Iced Caffè Mocha (Venti, 2%, No Whip)",709,340,8,5,0.2,20,120,53,6,41,13,265
"Iced Caffè Mocha (Venti, 2%, Whip)",709,450,19,12,0.5,60,130,56,6,43,13,265
"Iced Caffè Mocha (Venti, Whole, No Whip)",709,360,11,6,0.2,25,110,53,6,41,12,265
"Iced Caffè Mocha (Venti, Whole, Whip)",709,470,22,13,0.5,65,125,56,6,43,13,265
"Iced Caffè Mocha (Venti, Soy, No Whip)",709,310,7,2.5,0,0,100,49,7,35,12,265
"Iced Caffè Mocha (Venti, Soy, Whip)",709,430,18,10,0.3,40,110,53,7,37,12,265
"Iced Caffè Mocha (Venti, Coconut, No Whip)",709,300,9,7,0,0,115,50,6,38,5,265
"Iced Caffè Mocha (Venti, Coconut, Whip)",709,420,20,14,0.3,40,125,53,6,41,6,265
"Cappuccino (Short, Nonfat)",236,50,0.1,0.1,0,5,60,8,0,7,5,75
"Cappuccino (Short, 2%)",236,80,3,1.5,0.1,10,70,8,0,7,5,75
"Cappuccino (Short, Whole)",236,90,4.5,2.5,0.1,15,60,8,0,7,5,75
"Cappuccino (Short, Soy)",236,50,1.5,0.2,0,0,40,4,0,3,3,75
"Cappuccino (Short, Coconut)",236,70,4,4,0,0,75,7,0,6,1,75
"Cappuccino (Tall, Nonfat)",354,60,0.1,0.1,0,5,70,9,0,8,6,75
"Cappuccino (Tall, 2%)",354,90,3.5,1.5,0.1,15,80,9,0,8,6,75
"Cappuccino (Tall, Whole)",354,110,6,3,0.2,15,75,9,0,8,6,75
"Cappuccino (Tall, Soy)",354,70,3,0.4,0,0,65,7,1,4,5,75
"Cappuccino (Tall, Coconut)",354,100,6,6,0,0,115,11,0,9,1,75
"Cappuccino (Grande, Nonfat)",473,80,0.2,0.1,0,5,90,12,0,10,8,150
"Cappuccino (Grande, 2%)",473,120,4,2,0.1,15,100,12,0,10,8,150
"Cappuccino (Grande, Whole)",473,140,7,4,0.2,20,90,12,0,10,7,150
"Cappuccino (Grande, Soy)",473,100,3.5,0.4,0,0,80,9,1,5,7,150
"Cappuccino (Grande, Coconut)",473,130,8,8,0,0,150,14,0,12,1,150
"Cappuccino (Venti, Nonfat)",591,110,0.2,0.2,0,5,120,16,0,14,10,150
"Cappuccino (Venti, 2%)",591,150,6,3,0.2,25,135,16,0,14,10,150
"Cappuccino (Venti, Whole)",591,190,9,5,0.3,30,125,16,0,14,10,150
"Cappuccino (Venti, Soy)",591,120,4.5,0.5,0,0,110,11,1,7,9,150
"Cappuccino (Venti, Coconut)",591,170,10,10,0,0,190,18,0,15,2,150
"Caramel Macchiato (Short, Nonfat)",236,100,1,0.5,0,5,70,16,0,15,5,75
"Caramel Macchiato (Short, 2%)",236,120,4,2.5,0.1,15,80,16,0,15,5,75
"Caramel Macchiato (Short, Whole)",236,140,6,3.5,0.1,20,70,16,0,15,5,75
"Caramel Macchiato (Short, Soy)",236,100,3,1,0,0,60,14,1,11,4,75
"Caramel Macchiato (Short, Coconut)",236,100,4,3.5,0,0,70,14,0,13,1,75
"Caramel Macchiato (Tall, Nonfat)",354,150,1.5,1,0,10,105,27,0,25,8,75
"Caramel Macchiato (Tall, 2%)",354,190,6,3.5,0.2,20,120,26,0,25,8,75
"Caramel Macchiato (Tall, Whole)",354,210,9,5,0.2,25,110,26,0,25,8,75
"Caramel Macchiato (Tall, Soy)",354,160,4.5,1,0,5,95,22,1,19,6,75
"Caramel Macchiato (Tall, Coconut)",354,150,6,6,0,5,105,23,0,21,1,75
"Caramel Macchiato (Grande, Nonfat)",473,200,1.5,1,0,10,135,36,0,34,11,150
"Caramel Macchiato (Grande, 2%)",473,250,7,4.5,0.2,25,150,35,0,33,10,150
"Caramel Macchiato (Grande, Whole)",473,280,11,6,0.3,35,140,35,0,33,10,150
"Caramel Macchiato (Grande, Soy)",473,210,6,1.5,0,5,120,30,1,26,9,150
"Caramel Macchiato (Grande, Coconut)",473,200,8,7,0,5,130,32,0,29,1,150
"Caramel Macchiato (Venti, Nonfat)",591,250,1.5,1,0,10,170,45,0,42,13,150
"Caramel Macchiato (Venti, 2%)",591,310,9,6,0.3,35,190,44,0,42,13,150
"Caramel Macchiato (Venti, Whole)",591,350,13,8,0.4,40,170,44,0,42,12,150
"Caramel Macchiato (Venti, Soy)",591,260,7,1.5,0,5,150,38,1,33,11,150
"Caramel Macchiato (Venti, Coconut)",591,250,10,9,0,5,170,39,0,36,1,150
"Iced Caramel Macchiato (Tall, Nonfat)",354,140,1.5,1,0,10,100,26,0,24,7,75
"Iced Caramel Macchiato (Tall, 2%)",354,180,5,3.5,0.2,20,110,26,0,24,7,75
"Iced Caramel Macchiato (Tall, Whole)",354,200,8,4.5,0.2,25,100,26,0,24,7,75
"Iced Caramel Macchiato (Tall, Soy)",354,160,4.5,1.5,0,5,90,22,1,19,6,75
"Iced Caramel Macchiato (Tall, Coconut)",354,140,6,5,0,5,95,23,0,21,1,75
"Iced Caramel Macchiato (Grande, Nonfat)",473,210,2,1.5,0,10,135,37,0,35,10,150
"Iced Caramel Macchiato (Grande, 2%)",473,250,7,4.5,0.2,25,150,37,0,34,10,150
"Iced Caramel Macchiato (Grande, Whole)",473,280,11,6,0.3,35,140,37,0,34,9,150
"Iced Caramel Macchiato (Grande, Soy)",473,220,6,2,0,5,125,32,1,28,8,150
"Iced Caramel Macchiato (Grande, Coconut)",473,210,8,7,0,5,130,33,0,30,1,150
"Iced Caramel Macchiato (Venti, Nonfat)",709,290,2.5,1.5,0,15,180,53,0,50,14,225
"Iced Caramel Macchiato (Venti, 2%)",709,350,9,6,0.3,35,200,53,0,49,13,225
"Iced Caramel Macchiato (Venti, Whole)",709,390,14,8,0.4,45,190,53,0,49,13,225
"Iced Caramel Macchiato (Venti, Soy)",709,310,8,2,0,5,170,47,1,40,11,225
"Iced Caramel Macchiato (Venti, Coconut)",709,290,10,9,0,5,170,47,0,43,2,225
"Cinnamon Dolce Latte (Short, Nonfat, No Whip)",236,100,0.1,0.1,0,5,70,20,0,19,6,75
"Cinnamon Dolce Latte (Short, Nonfat, Whip)",236,160,5,3.5,0.2,20,75,22,0,21,6,75
"Cinnamon Dolce Latte (Short, 2%, No Whip)",236,130,3,1.5,0.1,15,75,20,0,19,6,75
"Cinnamon Dolce Latte (Short, 2%, Whip)",236,180,8,5,0.2,30,80,22,0,20,6,75
"Cinnamon Dolce Latte (Short, Whole, No Whip)",236,150,5,3,0.2,15,70,20,0,19,5,75
"Cinnamon Dolce Latte (Short, Whole, Whip)",236,200,10,6,0.3,35,75,22,0,20,6,75
"Cinnamon Dolce Latte (Short, Soy, No Whip)",236,110,2.5,0.3,0,0,60,17,1,15,5,75
"Cinnamon Dolce Latte (Short, Soy, Whip)",236,170,8,3.5,0.2,20,65,19,1,16,5,75
"Cinnamon Dolce Latte (Short, Coconut, No Whip)",236,110,3.5,3.5,0,0,70,18,0,17,1,75
"Cinnamon Dolce Latte (Short, Coconut, Whip)",236,160,9,7,0.2,20,75,20,0,19,1,75
"Cinnamon Dolce Latte (Tall, Nonfat, No Whip)",354,160,0.2,0.1,0,5,110,31,0,30,9,75
"Cinnamon Dolce Latte (Tall, Nonfat, Whip)",354,220,6,4,0.2,30,115,33,0,31,9,75
"Cinnamon Dolce Latte (Tall, 2%, No Whip)",354,200,5,2.5,0.2,20,125,30,0,29,9,75
"Cinnamon Dolce Latte (Tall, 2%, Whip)",354,270,11,6,0.3,45,130,32,0,31,9,75
"Cinnamon Dolce Latte (Tall, Whole, No Whip)",354,230,8,5,0.3,25,110,30,0,29,8,75
"Cinnamon Dolce Latte (Tall, Whole, Whip)",354,290,14,9,0.4,50,120,32,0,31,9,75
"Cinnamon Dolce Latte (Tall, Soy, No Whip)",354,170,4,0.5,0,0,95,26,1,23,7,75
"Cinnamon Dolce Latte (Tall, Soy, Whip)",354,240,10,4.5,0.2,20,100,28,1,25,8,75
"Cinnamon Dolce Latte (Tall, Coconut, No Whip)",354,160,6,6,0,0,110,27,0,26,1,75
"Cinnamon Dolce Latte (Tall, Coconut, Whip)",354,230,12,9,0.2,20,115,29,0,28,1,75
"Cinnamon Dolce Latte (Grande, Nonfat, No Whip)",473,210,0.3,0.2,0,5,135,40,0,38,11,150
"Cinnamon Dolce Latte (Grande, Nonfat, Whip)",473,280,7,4.5,0.2,30,140,43,0,40,12,150
"Cinnamon Dolce Latte (Grande, 2%, No Whip)",473,260,6,3,0.2,25,150,40,0,38,11,150
"Cinnamon Dolce Latte (Grande, 2%, Whip)",473,330,13,8,0.4,50,160,42,0,40,12,150
