Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Sugars Added (g),Protein (g)
Tropicana Light Lemonade (16 fl oz),,,16,10,0,0,0,0,190,0,0,0,0,0
Tropicana Light Lemonade (20 fl oz),,,20,10,0,0,0,0,240,0,0,0,0,0
Tropicana Light Lemonade (30 fl oz),,,30,15,0,0,0,0,350,1,0,0,0,0
Tropicana Pink Lemonade (12 fl oz),,,12,150,0,0,0,0,160,40,0,40,0,0
Tropicana Pink Lemonade (16 fl oz),,,16,210,0,0,0,0,210,53,0,53,0,0
Tropicana Pink Lemonade (20 fl oz),,,20,260,0,0,0,0,260,67,0,67,0,0
Tropicana Pink Lemonade (30 fl oz),,,30,390,0,0,0,0,390,100,0,100,0,0
Tropicana Twister Orange (12 fl oz),,,12,170,0,0,0,0,35,46,0,46,0,0
Tropicana Twister Orange (16 fl oz),,,16,230,0,0,0,0,50,61,0,61,0,0
Tropicana Twister Orange (20 fl oz),,,20,290,0,0,0,0,60,76,0,76,0,0
Tropicana Twister Orange (30 fl oz),,,30,430,0,0,0,0,90,115,0,114,0,0
Wild Cherry Pepsi (12 fl oz),,,12,160,0,0,0,0,30,42,0,42,0,0
Wild Cherry Pepsi (16 fl oz),,,16,210,0,0,0,0,40,56,0,56,0,0
Wild Cherry Pepsi (20 fl oz),,,20,260,0,0,0,0,50,70,0,70,0,0
Wild Cherry Pepsi (30 fl oz),,,30,390,0,0,0,0,80,105,0,105,0,0
Country Fried Steak without Peppered White Gravy,1 order,,,360,24,7,1,35,750,22,2,0,0,13
Country Fried Steak with Peppered White Gravy,1 order,,,390,26,7,1,35,910,26,2,0,0,13
KFC Gizzards,1 order,,,300,16,2,0,210,770,18,1,0,0,20
KFC Livers,1 order,,,230,13,2.5,0,285,750,12,0,0,0,17
