Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Cheesecake Shake (Medium),840,43,28,1.5,125,680,101,1,68,12
Cheesecake Shake (Large),1230,62,39,2,190,1010,148,1,99,19
Oreo Cheesecake Shake Mini,550,27,17,0.5,55,460,69,1,45,6
Oreo Cheesecake Shake (Small),820,41,25,1,100,650,102,1,66,10
Oreo Cheesecake Shake (Medium),1030,51,30,1.5,125,900,131,2,84,13
Oreo Cheesecake Shake (Large),1470,72,42,2,190,1280,184,2,119,19
Oreo Chocolate Shake Mini,520,27,18,0.5,55,380,65,1,44,6
Oreo Chocolate Shake (Small),750,40,25,1,100,510,90,1,61,10
Oreo Chocolate Shake (Medium),1000,51,32,1.5,125,760,125,3,84,13
Oreo Chocolate Shake (Large),1430,73,45,2,190,1090,178,4,119,19
Oreo Peanut Butter Shake Mini,590,34,18,0.5,55,350,61,1,41,9
Oreo Peanut Butter Shake (Small),820,47,26,1,100,480,87,1,58,13
Oreo Peanut Butter Shake (Medium),1130,66,33,1.5,125,700,118,2,77,18
Oreo Peanut Butter Shake (Large),1720,104,48,2,190,1040,172,4,111,30
Strawberry Cheesecake Shake Mini,460,23,15,0.5,55,340,59,1,41,6
Strawberry Cheesecake Shake (Small),700,35,23,1,100,480,84,1,58,10
Strawberry Cheesecake Shake (Medium),890,43,28,1.5,125,680,112,2,78,12
Strawberry Cheesecake Shake (Large),1300,62,39,2,190,1020,165,2,115,19
Caramel Real Ice Cream Sundae,490,22,15,1,65,350,61,0,43,7
Chocolate Real Ice Cream Sundae,430,22,15,0.5,65,280,51,1,36,7
Hot Fudge Real Ice Cream Sundae,520,26,18,0.5,65,270,65,1,46,7
Strawberry Real Ice Cream Sundae,440,21,14,0.5,65,220,55,1,40,7
Peanuts Add-On,40,3.5,0.5,0,0,0,2,1,0,2
Whipped Topping Add-On,70,5,5,0,0,0,5,0,5,0
Vanilla Cone,250,12,8,0,45,140,30,0,17,4
"Plain Slush Only (No Syrup, (Small)",180,0,0,0,0,30,48,0,48,0
"Plain Slush Only (No Syrup, Medium)",240,0,0,0,0,40,66,0,66,0
"Plain Slush Only (No Syrup, Large)",380,0,0,0,0,60,103,0,103,0
Plain Slush Only (No Syrup) Rt 44,540,0,0,0,0,85,145,0,145,0
All-Natural Lemonade Wacky Pack,100,0,0,0,0,0,27,0,25,0
All-Natural Lemonade (Small),160,0,0,0,0,0,42,0,38,0
All-Natural Lemonade (Medium),270,0,0,0,0,0,69,0,64,0
All-Natural Lemonade (Large),400,0,0,0,0,10,105,0,97,0
All-Natural Lemonade Rt 44,540,0,0,0,0,10,142,0,131,0
Lemonade Slush Wacky Pack,140,0,0,0,0,20,37,0,36,0
Lemonade Slush (Small),190,0,0,0,0,30,52,0,51,0
Lemonade Slush (Medium),280,0,0,0,0,40,74,0,72,0
Lemonade Slush (Large),430,0,0,0,0,65,116,0,112,0
Lemonade Slush Rt 44,600,0,0,0,0,95,162,0,157,0
Limeade Slush Wacky Pack,140,0,0,0,0,20,37,0,36,0
Limeade Slush (Small),190,0,0,0,0,30,53,0,51,0
Limeade Slush (Medium),280,0,0,0,0,40,74,0,72,0
Limeade Slush (Large),430,0,0,0,0,65,116,0,112,0
Limeade Slush Rt 44,600,0,0,0,0,95,163,0,157,0
Barq'S Root Beer Wacky Pack,80,0,0,0,0,20,21,0,21,0
Barq'S Root Beer (Small),120,0,0,0,0,30,32,0,32,0
Barq'S Root Beer (Medium),200,0,0,0,0,50,53,0,53,0
Barq'S Root Beer (Large),300,0,0,0,0,80,81,0,81,0
Barq'S Root Beer Rt 44,400,0,0,0,0,105,109,0,109,0
Big Red Wacky Pack,70,0,0,0,0,25,20,0,20,0
Big Red (Small),110,0,0,0,0,45,31,0,41,0
Big Red (Medium),170,0,0,0,0,65,45,0,45,0
Big Red (Large),250,0,0,0,0,100,68,0,68,0
Big Red Rt 44,340,0,0,0,0,135,92,0,92,0
Canada Dry Ginger Ale Wacky Pack,70,0,0,0,0,25,16,0,16,0
Canada Dry Ginger Ale (Small),100,0,0,0,0,45,26,0,26,0
Canada Dry Ginger Ale (Medium),150,0,0,0,0,65,37,0,37,0
Canada Dry Ginger Ale (Large),230,0,0,0,0,100,56,0,56,0
Canada Dry Ginger Ale Rt 44,310,0,0,0,0,135,76,0,76,0
Coca-Cola Wacky Pack,70,0,0,0,0,0,19,0,19,0
Coca-Cola (Small),110,0,0,0,0,10,29,0,29,0
Coca-Cola (Medium),180,0,0,0,0,15,48,0,48,0
Coca-Cola (Large),270,0,0,0,0,20,72,0,72,0
Coca-Cola Rt 44,360,0,0,0,0,30,98,0,98,0
Coca-Cola Zero Sugar Wacky Pack,0,0,0,0,0,5,0,0,0,0
Coca-Cola Zero Sugar (Small),0,0,0,0,0,10,0,0,0,0
Coca-Cola Zero Sugar (Medium),0,0,0,0,0,10,0,0,0,0
Coca-Cola Zero Sugar (Large),0,0,0,0,0,20,0,0,0,0
Coca-Cola Zero Sugar Rt 44,0,0,0,0,0,35,0,0,0,0
Diet Coke Wacky Pack,0,0,0,0,0,10,0,0,0,0
Diet Coke (Small),0,0,0,0,0,15,0,0,0,0
Diet Coke (Medium),0,0,0,0,0,25,0,0,0,0
Diet Coke (Large),0,0,0,0,0,30,0,0,0,0
Diet Coke Rt 44,0,0,0,0,0,50,0,0,0,0
Dr Pepper Wacky Pack,60,0,0,0,0,25,18,0,18,0
Dr Pepper (Small),100,0,0,0,0,35,28,0,28,0
Dr Pepper (Medium),160,0,0,0,0,60,46,0,46,0
Dr Pepper (Large),240,0,0,0,0,90,70,0,70,0
Dr Pepper Rt 44,330,0,0,0,0,120,94,0,94,0
Diet Dr Pepper Wacky Pack,0,0,0,0,0,35,0,0,0,0
Diet Dr Pepper (Small),0,0,0,0,0,55,0,0,0,0
Diet Dr Pepper (Medium),0,0,0,0,0,95,0,0,0,0
Diet Dr Pepper (Large),0,0,0,0,0,140,0,0,0,0
Diet Dr Pepper Rt 44,0,0,0,0,0,190,0,0,0,0
Fanta Orange Wacky Pack,70,0,0,0,0,0,20,0,20,0
Fanta Orange (Small),110,0,0,0,0,0,31,0,31,0
Fanta Orange (Medium),190,0,0,0,0,0,51,0,51,0
Fanta Orange (Large),280,0,0,0,0,10,78,0,78,0
Fanta Orange Rt 44,380,0,0,0,0,10,105,0,105,0
Hi-C Fruit Punch Wacky Pack,70,0,0,0,0,10,19,0,19,0
Hi-C Fruit Punch (Small),110,0,0,0,0,15,30,0,30,0
Hi-C Fruit Punch (Medium),180,0,0,0,0,20,50,0,50,0
Hi-C Fruit Punch (Large),280,0,0,0,0,35,75,0,75,0
Hi-C Fruit Punch Rt 44,380,0,0,0,0,40,102,0,102,0
Mello Yello Wacky Pack,70,0,0,0,0,10,20,0,20,0
Mello Yello (Small),110,0,0,0,0,15,31,0,31,0
Mello Yello (Medium),190,0,0,0,0,20,51,0,51,0
Mello Yello (Large),280,0,0,0,0,30,78,0,78,0
Mello Yello Rt 44,380,0,0,0,0,40,105,0,105,0
